date,1. open,2. high,3. low,4. close,5. volume
2000-01-03,442.9,475.9,429.5,475.0,9617400.0
2000-01-04,464.5,500.1,442.0,443.0,17467200.0
2000-01-05,430.5,431.1,402.0,420.3,20798700.0
2000-01-06,406.3,413.0,361.0,368.2,17825300.0
2000-01-07,366.8,408.0,363.0,407.3,12249900.0
2000-01-10,432.5,451.3,420.0,436.1,15255600.0
2000-01-11,423.9,426.3,392.0,397.4,18940400.0
2000-01-12,389.9,394.0,355.0,357.6,18525000.0
2000-01-13,366.5,377.4,338.0,346.9,16940700.0
2000-01-14,355.0,363.0,342.0,353.0,12308200.0
2000-01-18,341.8,350.0,335.0,341.2,7676500.0
2000-01-19,336.0,367.4,336.0,364.0,7950000.0
2000-01-20,369.1,371.9,349.0,351.9,7837400.0
2000-01-21,355.0,360.0,348.0,351.9,4403800.0
2000-01-24,353.9,360.5,324.0,324.3,6332300.0
2000-01-25,327.0,347.0,316.3,345.6,8647000.0
2000-01-26,340.5,343.5,327.8,328.6,4851000.0
2000-01-27,332.4,339.6,325.1,337.4,4805500.0
2000-01-28,333.6,343.0,309.6,313.5,9164000.0
2000-01-31,310.0,322.1,303.0,322.1,8956300.0
2000-02-01,319.4,329.8,310.8,317.4,6172700.0
2000-02-02,321.5,336.8,317.0,328.0,6703300.0
2000-02-03,334.9,361.0,334.0,360.3,9764400.0
2000-02-04,364.5,372.5,348.0,353.5,8454000.0
2000-02-07,354.0,363.0,347.0,354.0,5216100.0
2000-02-08,359.0,379.8,358.5,373.1,7457200.0
2000-02-09,370.0,377.3,360.1,362.3,5979700.0
2000-02-10,362.5,366.0,353.9,365.0,4495100.0
2000-02-11,363.9,365.0,341.8,342.7,4789600.0
2000-02-14,173.5,173.8,163.8,165.8,3791400.0
2000-02-15,166.4,173.3,156.0,170.0,10661600.0
2000-02-16,168.3,170.0,160.0,161.6,6410200.0
2000-02-17,165.9,168.0,161.1,163.2,6217300.0
2000-02-18,161.3,163.2,155.4,156.1,7321900.0
2000-02-22,156.9,157.0,148.9,153.8,8845800.0
2000-02-23,153.6,170.0,153.0,166.2,10594900.0
2000-02-24,166.5,171.6,159.3,168.1,8253000.0
2000-02-25,165.6,170.3,160.3,165.2,5709000.0
2000-02-28,161.5,164.8,152.1,161.9,9210100.0
2000-02-29,164.4,169.9,155.5,159.7,6842300.0
2000-03-01,157.5,163.0,155.0,158.5,5826100.0
2000-03-02,155.0,159.0,152.0,154.9,6113700.0
2000-03-03,156.0,163.0,151.0,158.0,7486000.0
2000-03-06,163.5,177.0,162.7,171.6,12783200.0
2000-03-07,174.9,180.4,168.0,171.4,8672800.0
2000-03-08,174.6,181.0,165.0,177.0,8617200.0
2000-03-09,175.3,185.0,172.0,183.3,8702500.0
2000-03-10,181.2,183.0,175.6,178.1,5203300.0
2000-03-13,168.1,180.5,168.0,175.8,6016500.0
2000-03-14,178.5,183.5,167.9,168.8,7884300.0
2000-03-15,168.8,169.0,155.1,158.5,8821700.0
2000-03-16,159.2,173.0,156.1,170.2,8524600.0
2000-03-17,169.1,176.9,169.0,171.1,5611500.0
2000-03-20,172.2,175.4,165.3,172.0,5202300.0
2000-03-21,173.0,193.3,168.6,191.8,12616400.0
2000-03-22,189.4,205.6,188.5,197.2,15692300.0
2000-03-23,193.4,203.0,190.5,191.0,7354300.0
2000-03-24,193.5,201.0,188.0,194.0,7353900.0
2000-03-27,195.6,205.2,195.0,200.8,8639900.0
2000-03-28,197.0,200.8,193.9,195.0,6415100.0
2000-03-29,193.4,196.5,174.0,177.1,10770000.0
2000-03-30,172.5,187.1,160.3,169.5,15866900.0
2000-03-31,175.3,177.3,160.5,171.4,10842000.0
2000-04-03,168.8,173.0,159.4,160.1,9661400.0
2000-04-04,165.0,171.0,132.8,167.4,21264200.0
2000-04-05,161.6,169.9,158.5,165.6,13685900.0
2000-04-06,161.9,171.3,150.7,154.0,27995200.0
2000-04-07,156.8,160.0,150.8,151.1,12480200.0
2000-04-10,152.9,153.0,141.0,141.9,12430000.0
2000-04-11,139.6,142.5,132.5,133.5,14426800.0
2000-04-12,136.6,142.9,130.5,136.2,14847900.0
2000-04-13,137.0,148.1,134.3,136.1,14011400.0
2000-04-14,130.3,135.3,111.0,116.0,19233400.0
2000-04-17,111.3,122.9,108.0,114.4,22234300.0
2000-04-18,116.9,127.5,115.5,126.7,12433000.0
2000-04-19,129.4,134.5,122.0,125.9,9163000.0
2000-04-20,126.5,129.1,119.5,123.1,6550300.0
2000-04-24,115.0,119.1,107.0,113.9,10987400.0
2000-04-25,118.8,127.0,118.8,124.5,12578200.0
2000-04-26,124.5,126.9,118.3,119.1,8334800.0
2000-04-27,114.5,126.8,113.0,124.3,9982100.0
2000-04-28,126.8,131.9,125.5,130.3,7454400.0
2000-05-01,134.8,136.0,126.9,130.9,7126200.0
2000-05-02,129.1,131.5,121.6,122.6,6829100.0
2000-05-03,120.3,124.8,116.1,122.1,7191500.0
2000-05-04,124.5,127.0,121.1,124.2,6500000.0
2000-05-05,122.0,128.0,122.0,125.7,4187500.0
2000-05-08,122.9,125.5,120.5,120.8,3979400.0
2000-05-09,121.5,122.3,115.0,117.4,6828100.0
2000-05-10,115.3,122.5,112.5,118.9,9386300.0
2000-05-11,121.8,126.0,119.5,125.3,7481400.0
2000-05-12,126.5,131.4,125.1,125.7,7426700.0
2000-05-15,125.1,130.0,120.6,130.0,5796000.0
2000-05-16,133.4,138.3,130.0,135.6,10179700.0
2000-05-17,132.5,139.8,131.9,137.8,10421200.0
2000-05-18,137.5,137.6,130.0,132.0,7606600.0
2000-05-19,131.4,134.7,120.0,120.3,14130800.0
2000-05-22,120.1,128.0,113.3,126.3,15997200.0
2000-05-23,125.3,127.4,118.0,118.3,8952200.0
2000-05-24,117.5,124.0,112.0,122.8,11364600.0
2000-05-25,121.5,123.6,113.0,115.0,9394400.0
2000-05-26,114.5,116.1,111.0,112.1,6331100.0
2000-05-30,115.7,120.0,114.5,117.0,8867000.0
