date,1. open,2. high,3. low,4. close,5. volume
1/3/00,81.5,89.56,80,89.38,16117600
1/4/00,85.38,91.5,81.75,81.94,17487400
1/5/00,70.75,75.13,69.63,71.75,38457400
1/6/00,71.31,72.69,64,65.56,18752000
1/7/00,67,70.5,66.19,69.56,10505400
1/10/00,72.56,72.63,65.56,69.19,14757900
1/11/00,66.88,70,65,66.75,10532700
1/12/00,67.88,68,63,63.56,10804500
1/13/00,64.94,67.19,63.13,65.94,10448100
1/14/00,66.75,68.5,64,64.25,6853600
1/18/00,63.44,65.19,63,64.13,5384900
1/19/00,64.13,67.5,63,66.81,8245500
1/20/00,66.94,67,63.94,64.75,5978000
1/21/00,64.63,64.63,60,62.06,11461900
1/24/00,67.56,73.38,67.5,70.13,29170200
1/25/00,70,71.25,66,69.25,9434100
1/26/00,68.63,70,64.75,64.81,6558000
1/27/00,65.19,67.75,64.63,66.94,6784000
1/28/00,65,66.44,60,61.69,13777900
1/31/00,60.38,64.75,58.44,64.56,10697900
2/1/00,67.5,70.63,64.38,67.44,13404600
2/2/00,67.94,72.25,67.75,69.44,14025900
2/3/00,81.13,85.94,77.38,84.19,43750000
2/4/00,82.75,82.75,78,78.56,11023000
2/7/00,76.19,76.88,73.13,75,10129000
2/8/00,74,84,73.44,83.13,19472800
2/9/00,80.55,83.73,80.02,80.25,9580400
2/10/00,78.5,79.88,75.5,76.19,9979600
2/11/00,77.13,79.13,75.5,76.19,8309000
2/14/00,75.69,75.75,73.56,74.44,5169700
2/15/00,73.44,76.19,70.63,73.81,6424500
2/16/00,72.75,73.44,70.63,70.69,4260200
2/17/00,71.25,71.31,68,69,6129600
2/18/00,68.44,69,63.88,64.75,8726400
2/22/00,64.94,66.5,63.06,63.56,5685800
2/23/00,64.88,71.75,64.69,70.44,8441200
2/24/00,70.56,71.38,65.63,68.44,5869300
2/25/00,67.44,69.38,65.19,69.13,4870500
2/28/00,66.56,67.19,64.13,65.75,5057700
2/29/00,66,68.97,65.88,68.88,7148500
3/1/00,67.63,68.5,65,65.88,5576700
3/2/00,64.94,65,62.19,62.56,7980100
3/3/00,63.25,64.75,62.06,62.5,6059500
3/6/00,62.88,67.25,62.81,63.94,7665800
3/7/00,64.88,65.81,62.13,63.5,4178800
3/8/00,63.25,64.75,60.56,63.63,5940700
3/9/00,63,69,62.19,68.81,8312500
3/10/00,67.25,68.53,65,66.88,3713500
3/13/00,64,66.63,63,65.31,5634300
3/14/00,66.06,66.94,63.38,65.63,4805300
3/15/00,64.75,65.13,62,63.75,6082700
3/16/00,62.25,66.38,60,66.25,9703100
3/17/00,66.06,66.38,64.5,64.81,5298500
3/20/00,63.5,64.5,62.38,64.19,5813500
3/21/00,65.13,73,62.25,72.38,17082900
3/22/00,70.88,74,69.25,70.69,11566400
3/23/00,69.5,70.94,67.5,67.69,5442100
3/24/00,67.69,67.69,67.69,67.69,9746000
3/27/00,72.25,75.13,71.75,73.13,4748600
3/28/00,72.38,72.75,69.47,70.13,5197600
3/29/00,69.5,69.88,65,66.25,5886500
3/30/00,64.5,67.38,64,66.5,5034000
3/31/00,66.75,67.13,63,67,5115500
4/3/00,65.44,65.69,62,63.56,4865400
4/4/00,62.88,65.44,55.75,63.94,14318000
4/5/00,61.75,64.94,60.5,62.19,4900000
4/6/00,63.44,65.5,61.88,64.25,6032700
4/7/00,65.13,68.63,64.13,67.56,6052300
4/10/00,67.25,68.44,63.25,63.38,4523600
4/11/00,62.5,66,61.25,63.38,4706600
4/12/00,64,64.38,56.25,56.38,8695500
4/13/00,57.88,58.75,47.94,48,10679000
4/14/00,47.88,52.38,40.81,46.88,20074500
4/17/00,45.25,52,44.63,47.06,12180900
4/18/00,47.63,56.25,47.13,54.94,10735000
4/19/00,55.31,55.31,51.69,53.44,5373800
4/20/00,53.38,53.69,49.88,52.38,4925300
4/24/00,49.38,51.56,44.88,49.81,6693300
4/25/00,51.81,54.13,50.25,52.44,7150400
4/26/00,53.31,57.44,52.45,53.5,12006400
4/27/00,49.31,55.25,48.5,52.88,11266000
4/28/00,54,55.63,53.13,55.19,6833800
5/1/00,56,60.31,55.25,59.94,8578500
5/2/00,59.19,60,55.88,56.13,7427900
5/3/00,55.25,56.56,53,54.13,5424800
5/4/00,54.25,56.5,53.13,55.06,4725200
5/5/00,54.63,58.63,54.13,58.5,4062100
5/8/00,56.81,59.25,55.44,56.02,3950000
5/9/00,56.5,57.75,53,56.25,4551800
5/10/00,54.53,55.38,49,53.31,8711500
5/11/00,53.94,55.75,50.94,54.88,5580800
5/12/00,54.69,56.5,53.13,53.75,3969600
5/15/00,53.63,56.5,50.88,56.06,4125400
5/16/00,57.13,59.88,56,59.06,6432200
5/17/00,57.19,62.38,57,61,6998600
5/18/00,60.38,60.88,55.13,55.38,4727000
5/19/00,54.63,55.75,52.25,52.63,4610900
5/22/00,53,53.13,46.88,51.88,8272800
5/23/00,50.5,51.88,46.5,46.69,5837200
5/24/00,46.44,49.75,40.44,48.56,11666600
5/25/00,49.5,50,45.5,45.5,4919500
5/26/00,46.25,47.75,44,46.5,3621000
5/30/00,47.31,51.88,47.31,51.75,5613200
5/31/00,50.75,52.25,49.63,49.94,6882000
6/1/00,48.88,51.13,46.38,50.19,7622200
6/2/00,52.38,58.13,52.25,57.88,8322500
6/5/00,55.03,56.25,52.5,54.5,6813200
6/6/00,54,54.56,50.25,50.56,4853100
6/7/00,51.88,52.19,50.13,51.81,3841200
6/8/00,52.56,53.44,51.63,51.88,3040300
6/9/00,51.94,53.25,51.88,52.19,1922300
6/12/00,52.19,52.19,47,48.44,3986000
6/13/00,48.19,49.5,46.25,49,4788500
6/14/00,49.31,49.88,46,46.44,5020500
6/15/00,47,47.94,45.31,46.31,3554700
6/16/00,47.25,47.44,45.38,46,3070900
6/19/00,45.5,45.88,43.5,45.31,5151500
6/20/00,45.88,48.63,45.13,46.13,6199100
6/21/00,45.44,46.94,45.06,46.06,3573300
6/22/00,46.19,46.44,41.63,42,10516100
6/23/00,36.63,37,32.47,33.88,51838200
6/26/00,35.31,35.33,32.81,33.94,21076400
6/27/00,33.75,38.5,33.5,36.5,17638200
6/28/00,36.88,39.94,36.13,37.88,14874300
6/29/00,37.13,38.5,36.13,37.13,8986500
6/30/00,37,37.25,35.5,36.31,6451900
7/3/00,36.69,37.5,36.5,37,1762400
7/5/00,37,38.5,36.38,36.5,4213600
7/6/00,36.88,37.38,34.75,36.06,6767100
7/7/00,36.13,37,35.25,36.13,3870600
7/10/00,36.38,36.38,35,35.06,4240600
7/11/00,35.19,35.25,32.63,33.13,9896500
7/12/00,35.44,36.13,34.25,35.06,11265900
7/13/00,35.63,36,34.88,35,8597500
7/14/00,36.38,43.2,36.31,42.63,22436100
7/17/00,42.88,43.94,40.25,41.13,6530000
7/18/00,40.13,43.63,39.5,41.75,7958400
7/19/00,41.5,41.56,39,40.88,4743700
7/20/00,40.94,43.38,39.5,40.31,6945700
7/21/00,40.44,42.5,40.44,41.13,4712900
7/24/00,41.06,41.38,38.06,38.75,5778200
7/25/00,36.75,38.75,33.25,37.63,27752500
7/26/00,35.06,36.72,34.06,36.06,15547800
7/27/00,31.44,32,29.75,31.38,23579300
7/28/00,31.44,32.13,29,30,12447000
7/31/00,30.06,30.25,27.88,30.13,9478800
8/1/00,30.63,32.25,30.25,30.25,8156400
8/2/00,30.25,32,30.22,30.81,4952900
8/3/00,29.44,31.75,29.31,31.5,5144100
8/4/00,31.94,34.19,31.5,32.5,4871100
8/7/00,32,34.25,31.63,33.81,4403100
8/8/00,33.25,33.38,32.44,32.94,5050600
8/9/00,32.38,32.38,30.38,30.88,8874400
8/10/00,31.5,31.75,29.75,30.44,6073000
8/11/00,30.5,34,30.31,33.69,9116200
8/14/00,33.5,35.19,32.69,34.88,6217200
8/15/00,34.63,38.31,34.38,37.56,8497200
8/16/00,37.56,39.88,37.56,38.75,9833200
8/17/00,38,39.06,36.88,38.25,4974100
8/18/00,39.25,40.13,38.94,39,7371100
8/21/00,39.09,39.88,36.5,37.5,4037500
8/22/00,38.13,38.19,36.06,36.5,3508200
8/23/00,36.38,39.5,35,38.81,4721300
8/24/00,39.56,40.5,38.81,39.38,4719000
8/25/00,39.13,40.06,38.56,39.94,2708600
8/28/00,38.81,42.5,38.56,39.13,9178500
8/29/00,39.5,40.88,38.88,39.63,4521100
8/30/00,42.38,43.97,42,42.94,12919600
8/31/00,43.13,43.19,41.44,41.5,4616300
9/1/00,42.13,42.5,41,41.5,3347100
9/5/00,40.94,46.31,40.25,45.69,10168200
9/6/00,47.25,49.63,45.69,45.88,14263200
9/7/00,46.81,47,43,43.5,7406200
9/8/00,44.06,45,42.5,42.94,5088900
9/11/00,42.63,45.22,42.19,42.38,5447100
9/12/00,43.38,44.19,42.25,42.69,3821500
9/13/00,41.31,43.13,41,42.44,4085000
9/14/00,44.19,46,43.75,44.88,6963500
9/15/00,45.38,45.44,42.88,43.63,6180200
9/18/00,43.5,44.63,41.88,42.81,4445200
9/19/00,42.06,42.75,39.13,40.75,7230800
9/20/00,40.44,40.5,37.38,37.5,9744800
9/21/00,37.44,40.5,37.25,40.06,7425600
9/22/00,38.38,42.13,38.31,41.44,5996200
9/25/00,41.22,42.56,40,40.38,5459900
9/26/00,40.63,41.13,39.56,39.75,4260400
9/27/00,38.69,39.63,35.5,37.88,10030900
9/28/00,37.31,40.25,37.13,40,5857900
9/29/00,39,41.25,37.63,38.44,6517100
10/2/00,38.19,38.44,35.25,35.88,5477700
10/3/00,36.75,37.25,35,35.06,5379900
10/4/00,33.44,37.06,32.5,36,7841100
10/5/00,35.19,36.63,32,33.56,6966300
10/6/00,32.5,33.25,30.19,31.56,8871100
10/9/00,30.25,30.56,27.38,30.06,12727500
10/10/00,29.75,32.72,28.88,30.44,7265500
10/11/00,27.94,30.25,27.63,27.81,7889700
10/12/00,28.38,28.81,24.63,25.13,8032600
10/13/00,24.25,28.88,23.5,28.44,7633400
10/16/00,28.13,28.31,24.13,24.31,7147700
10/17/00,24.88,25.19,20.88,21.94,15140500
10/18/00,19.88,25.38,19.38,25.13,18788700
10/19/00,26.56,28.13,24.19,27.75,10874900
10/20/00,27.69,31.25,27.13,30.81,11621900
10/23/00,29.69,30.38,27.63,30,10199600
10/24/00,29.88,33.88,28.81,29.56,13676600
10/25/00,34,36.5,31.75,31.88,28572900
10/26/00,32.19,37.5,31,36.88,17825500
10/27/00,33.94,37.5,33.88,35.63,12370700
10/30/00,33.06,34.38,30.27,32.88,12510200
10/31/00,32.69,36.88,32.06,36.63,9919500
