date,MACD,MACD_Hist,MACD_Signal
2018-04-13 10:03,-0.231,0.0002,-0.2312
2018-04-13 10:04,-0.2208,0.0083,-0.2291
2018-04-13 10:05,-0.2167,0.01,-0.2266
2018-04-13 10:06,-0.207,0.0157,-0.2227
2018-04-13 10:07,-0.1914,0.025,-0.2164
2018-04-13 10:08,-0.1707,0.0366,-0.2073
2018-04-13 10:09,-0.1677,0.0317,-0.1994
2018-04-13 10:10,-0.1698,0.0237,-0.1935
2018-04-13 10:11,-0.1695,0.0192,-0.1887
2018-04-13 10:12,-0.1681,0.0164,-0.1846
2018-04-13 10:13,-0.1624,0.0177,-0.1801
2018-04-13 10:14,-0.15,0.0241,-0.1741
2018-04-13 10:15,-0.1394,0.0277,-0.1672
2018-04-13 10:16,-0.1303,0.0295,-0.1598
2018-04-13 10:17,-0.1233,0.0292,-0.1525
2018-04-13 10:18,-0.1132,0.0314,-0.1446
2018-04-13 10:19,-0.0984,0.037,-0.1354
2018-04-13 10:20,-0.0857,0.0397,-0.1255
2018-04-13 10:21,-0.0852,0.0322,-0.1174
2018-04-13 10:22,-0.083,0.0276,-0.1105
2018-04-13 10:23,-0.0835,0.0216,-0.1051
2018-04-13 10:24,-0.0821,0.0184,-0.1005
2018-04-13 10:25,-0.0849,0.0125,-0.0974
2018-04-13 10:26,-0.0885,0.0071,-0.0956
2018-04-13 10:27,-0.1039,-0.0066,-0.0973
2018-04-13 10:28,-0.1196,-0.0178,-0.1017
2018-04-13 10:29,-0.1361,-0.0275,-0.1086
2018-04-13 10:30,-0.1379,-0.0234,-0.1145
2018-04-13 10:31,-0.1369,-0.018,-0.1189
2018-04-13 10:32,-0.1426,-0.0189,-0.1237
2018-04-13 10:33,-0.1406,-0.0135,-0.1271
2018-04-13 10:34,-0.1303,-0.0026,-0.1277
2018-04-13 10:35,-0.1207,0.0056,-0.1263
2018-04-13 10:36,-0.1134,0.0103,-0.1237
2018-04-13 10:37,-0.104,0.0158,-0.1198
2018-04-13 10:38,-0.1003,0.0156,-0.1159
2018-04-13 10:39,-0.0946,0.017,-0.1116
2018-04-13 10:40,-0.093,0.0149,-0.1079
2018-04-13 10:41,-0.0844,0.0188,-0.1032
2018-04-13 10:42,-0.0786,0.0196,-0.0983
2018-04-13 10:43,-0.0657,0.0261,-0.0918
2018-04-13 10:44,-0.0571,0.0277,-0.0848
2018-04-13 10:45,-0.0583,0.0212,-0.0795
2018-04-13 10:46,-0.058,0.0172,-0.0752
2018-04-13 10:47,-0.055,0.0162,-0.0712
2018-04-13 10:48,-0.055,0.013,-0.0679
2018-04-13 10:49,-0.0495,0.0147,-0.0643
2018-04-13 10:50,-0.0407,0.0188,-0.0595
2018-04-13 10:51,-0.0293,0.0242,-0.0535
2018-04-13 10:52,-0.0193,0.0274,-0.0467
