date,MACD_Signal,MACD,MACD_Hist
2018-04-13 10:03,0.2406,-0.3163,-0.5569
2018-04-13 10:04,0.1213,-0.3562,-0.4775
2018-04-13 10:05,-0.0014,-0.4919,-0.4905
2018-04-13 10:06,-0.1236,-0.6124,-0.4889
2018-04-13 10:07,-0.2363,-0.687,-0.4508
2018-04-13 10:08,-0.3363,-0.7362,-0.3999
2018-04-13 10:09,-0.4709,-1.0093,-0.5385
2018-04-13 10:10,-0.6333,-1.2829,-0.6497
2018-04-13 10:11,-0.8235,-1.5844,-0.7609
2018-04-13 10:12,-1.0505,-1.9587,-0.9081
2018-04-13 10:13,-1.2568,-2.082,-0.8252
2018-04-13 10:14,-1.4036,-1.9906,-0.587
2018-04-13 10:15,-1.5067,-1.9194,-0.4126
2018-04-13 10:16,-1.5452,-1.6989,-0.1538
2018-04-13 10:17,-1.539,-1.514,0.0249
2018-04-13 10:18,-1.5106,-1.3974,0.1132
2018-04-13 10:19,-1.4466,-1.1904,0.2562
2018-04-13 10:20,-1.3712,-1.0697,0.3015
2018-04-13 10:21,-1.3211,-1.1208,0.2003
2018-04-13 10:22,-1.2529,-0.9798,0.2731
2018-04-13 10:23,-1.214,-1.0584,0.1556
2018-04-13 10:24,-1.1479,-0.8838,0.2642
2018-04-13 10:25,-1.1058,-0.9371,0.1687
2018-04-13 10:26,-1.1073,-1.1134,-0.0061
2018-04-13 10:27,-1.1569,-1.3553,-0.1984
2018-04-13 10:28,-1.2288,-1.5166,-0.2878
2018-04-13 10:29,-1.3282,-1.7258,-0.3976
2018-04-13 10:30,-1.4274,-1.8242,-0.3968
2018-04-13 10:31,-1.5131,-1.8557,-0.3427
2018-04-13 10:32,-1.5891,-1.8932,-0.3041
2018-04-13 10:33,-1.6512,-1.8997,-0.2484
2018-04-13 10:34,-1.6748,-1.7691,-0.0943
2018-04-13 10:35,-1.6682,-1.642,0.0263
2018-04-13 10:36,-1.6276,-1.4649,0.1626
2018-04-13 10:37,-1.5768,-1.3738,0.203
2018-04-13 10:38,-1.5234,-1.3098,0.2136
2018-04-13 10:39,-1.4741,-1.2768,0.1973
2018-04-13 10:40,-1.4372,-1.2897,0.1475
2018-04-13 10:41,-1.3798,-1.1503,0.2295
2018-04-13 10:42,-1.3197,-1.0791,0.2406
2018-04-13 10:43,-1.2353,-0.8977,0.3376
2018-04-13 10:44,-1.1388,-0.7529,0.3859
2018-04-13 10:45,-1.0598,-0.7438,0.316
2018-04-13 10:46,-0.9793,-0.6572,0.3221
2018-04-13 10:47,-0.8941,-0.5535,0.3406
2018-04-13 10:48,-0.8046,-0.4464,0.3582
2018-04-13 10:49,-0.7024,-0.2936,0.4088
2018-04-13 10:50,-0.5895,-0.1382,0.4513
2018-04-13 10:51,-0.4717,-0.0002,0.4715
2018-04-13 10:52,-0.3537,0.1184,0.472
2018-04-13 10:53,-0.2346,0.2418,0.4764
2018-04-13 10:54,-0.1478,0.1995,0.3472
2018-04-13 10:55,-0.0923,0.1296,0.2219
2018-04-13 10:56,-0.0695,0.0215,0.0911
2018-04-13 10:57,-0.056,-0.002,0.0541
2018-04-13 10:58,-0.0533,-0.0427,0.0107
2018-04-13 10:59,-0.0509,-0.0412,0.0097
2018-04-13 11:00,-0.0753,-0.173,-0.0977
2018-04-13 11:01,-0.1438,-0.4179,-0.274
2018-04-13 11:02,-0.25,-0.6745,-0.4245
2018-04-13 11:03,-0.3659,-0.8294,-0.4635
2018-04-13 11:04,-0.5001,-1.0371,-0.537
2018-04-13 11:05,-0.6364,-1.1816,-0.5452
2018-04-13 11:06,-0.7638,-1.2733,-0.5096
2018-04-13 11:07,-0.8384,-1.1369,-0.2985
2018-04-13 11:08,-0.884,-1.0663,-0.1823
2018-04-13 11:09,-0.8938,-0.9328,-0.0391
2018-04-13 11:10,-0.8875,-0.8623,0.0252
2018-04-13 11:11,-0.8515,-0.7078,0.1437
2018-04-13 11:12,-0.8024,-0.6059,0.1965
2018-04-13 11:13,-0.7427,-0.504,0.2388
2018-04-13 11:14,-0.6789,-0.4235,0.2553
2018-04-13 11:15,-0.625,-0.4096,0.2155
2018-04-13 11:16,-0.5684,-0.3421,0.2264
2018-04-13 11:17,-0.515,-0.3012,0.2138
2018-04-13 11:18,-0.459,-0.2351,0.2239
2018-04-13 11:19,-0.4294,-0.311,0.1184
2018-04-13 11:20,-0.4271,-0.4178,0.0093
2018-04-13 11:21,-0.428,-0.4315,-0.0036
2018-04-13 11:22,-0.436,-0.4683,-0.0323
2018-04-13 11:23,-0.4368,-0.4397,-0.0029
2018-04-13 11:24,-0.4217,-0.3616,0.0601
2018-04-13 11:25,-0.3914,-0.2701,0.1213
2018-04-13 11:26,-0.3582,-0.2255,0.1327
2018-04-13 11:27,-0.3339,-0.2367,0.0972
2018-04-13 11:28,-0.3244,-0.2863,0.0381
2018-04-13 11:29,-0.3197,-0.3007,0.019
2018-04-13 11:30,-0.3143,-0.2926,0.0216
2018-04-13 11:31,-0.3149,-0.3175,-0.0026
2018-04-13 11:32,-0.3112,-0.2964,0.0148
2018-04-13 11:33,-0.2891,-0.2007,0.0884
2018-04-13 11:34,-0.2653,-0.1702,0.0952
2018-04-13 11:35,-0.2493,-0.1853,0.064
2018-04-13 11:36,-0.2375,-0.1903,0.0472
2018-04-13 11:37,-0.226,-0.1801,0.0459
2018-04-13 11:38,-0.2351,-0.2715,-0.0364
2018-04-13 11:39,-0.2746,-0.4324,-0.1578
2018-04-13 11:40,-0.3155,-0.4793,-0.1638
2018-04-13 11:41,-0.372,-0.5976,-0.2257
2018-04-13 11:42,-0.4071,-0.5479,-0.1407
2018-04-13 11:43,-0.4227,-0.4851,-0.0624
2018-04-13 11:44,-0.4212,-0.4152,0.006
2018-04-13 11:45,-0.3982,-0.3063,0.092
2018-04-13 11:46,-0.3597,-0.2058,0.154
2018-04-13 11:47,-0.3042,-0.0818,0.2223
2018-04-13 11:48,-0.2318,0.0574,0.2893
2018-04-13 11:49,-0.1722,0.0661,0.2384
2018-04-13 11:50,-0.1237,0.0706,0.1943
2018-04-13 11:51,-0.0998,-0.0042,0.0956
2018-04-13 11:52,-0.0887,-0.0443,0.0444
2018-04-13 11:53,-0.0813,-0.0519,0.0295
2018-04-13 11:54,-0.0907,-0.1284,-0.0377
2018-04-13 11:55,-0.1332,-0.3033,-0.1701
2018-04-13 11:56,-0.1664,-0.299,-0.1326
2018-04-13 11:57,-0.1711,-0.19,-0.0189
2018-04-13 11:58,-0.1234,0.0674,0.1908
2018-04-13 11:59,-0.0658,0.1647,0.2305
2018-04-13 12:00,0.0014,0.2701,0.2687
2018-04-13 12:01,0.0868,0.4286,0.3417
2018-04-13 12:02,0.1854,0.5797,0.3943
2018-04-13 12:03,0.2791,0.6537,0.3746
2018-04-13 12:04,0.3624,0.6958,0.3334
2018-04-13 12:05,0.4394,0.7472,0.3078
2018-04-13 12:06,0.4988,0.7367,0.2378
2018-04-13 12:07,0.5311,0.6602,0.1291
2018-04-13 12:08,0.5257,0.5038,-0.0218
2018-04-13 12:09,0.4729,0.2619,-0.211
2018-04-13 12:10,0.4033,0.1249,-0.2784
2018-04-13 12:11,0.32,-0.0131,-0.3331
2018-04-13 12:12,0.2261,-0.1497,-0.3758
2018-04-13 12:13,0.1429,-0.1897,-0.3326
2018-04-13 12:14,0.0765,-0.1891,-0.2656
2018-04-13 12:15,0.0343,-0.1347,-0.169
2018-04-13 12:16,0.0059,-0.1076,-0.1135
2018-04-13 12:17,-0.022,-0.1337,-0.1117
2018-04-13 12:18,-0.0566,-0.1948,-0.1383
2018-04-13 12:19,-0.0902,-0.2248,-0.1346
2018-04-13 12:20,-0.1205,-0.2417,-0.1211
2018-04-13 12:21,-0.1481,-0.2583,-0.1102
2018-04-13 12:22,-0.1624,-0.2198,-0.0574
