date,MACD_Signal,MACD,MACD_Hist
2018-04-13 10:04,-0.7685,-0.6543,0.1143
2018-04-13 10:05,-0.7399,-0.6254,0.1145
2018-04-13 10:06,-0.7088,-0.5843,0.1245
2018-04-13 10:07,-0.6729,-0.5292,0.1437
2018-04-13 10:08,-0.6353,-0.4851,0.1503
2018-04-13 10:09,-0.6068,-0.4928,0.114
2018-04-13 10:10,-0.5854,-0.4996,0.0858
2018-04-13 10:11,-0.5672,-0.4945,0.0727
2018-04-13 10:12,-0.5517,-0.4899,0.0618
2018-04-13 10:13,-0.5373,-0.4797,0.0577
2018-04-13 10:14,-0.5205,-0.4534,0.0671
2018-04-13 10:15,-0.5021,-0.4284,0.0737
2018-04-13 10:16,-0.4831,-0.4072,0.0759
2018-04-13 10:17,-0.4624,-0.3795,0.0829
2018-04-13 10:18,-0.4404,-0.3523,0.0881
2018-04-13 10:19,-0.414,-0.3082,0.1057
2018-04-13 10:20,-0.3856,-0.2721,0.1135
2018-04-13 10:21,-0.3624,-0.2699,0.0926
2018-04-13 10:22,-0.3406,-0.2531,0.0875
2018-04-13 10:23,-0.3229,-0.2523,0.0706
2018-04-13 10:24,-0.307,-0.2431,0.0638
2018-04-13 10:25,-0.2972,-0.2579,0.0392
2018-04-13 10:26,-0.2945,-0.284,0.0105
2018-04-13 10:27,-0.3045,-0.3444,-0.0399
2018-04-13 10:28,-0.3219,-0.3914,-0.0695
2018-04-13 10:29,-0.3466,-0.4457,-0.099
2018-04-13 10:30,-0.3683,-0.4552,-0.0869
2018-04-13 10:31,-0.3884,-0.4687,-0.0803
2018-04-13 10:32,-0.4072,-0.4822,-0.0751
2018-04-13 10:33,-0.4189,-0.4658,-0.0469
2018-04-13 10:34,-0.42,-0.4241,-0.0042
2018-04-13 10:35,-0.4117,-0.3787,0.033
2018-04-13 10:36,-0.3984,-0.3451,0.0533
2018-04-13 10:37,-0.3831,-0.3221,0.0611
2018-04-13 10:38,-0.369,-0.3123,0.0567
2018-04-13 10:39,-0.3552,-0.3003,0.0549
2018-04-13 10:40,-0.3426,-0.2921,0.0505
2018-04-13 10:41,-0.3261,-0.2601,0.066
