date,MACD_Signal,MACD,MACD_Hist
2018-04-13 10:03,-0.0961,-0.0886,0.0075
2018-04-13 10:04,-0.0923,-0.0769,0.0153
2018-04-13 10:05,-0.0894,-0.0779,0.0115
2018-04-13 10:06,-0.0858,-0.0715,0.0143
2018-04-13 10:07,-0.0789,-0.0514,0.0276
2018-04-13 10:08,-0.0721,-0.0446,0.0275
2018-04-13 10:09,-0.0696,-0.0595,0.0101
2018-04-13 10:10,-0.0725,-0.0845,-0.012
2018-04-13 10:11,-0.0789,-0.1043,-0.0254
2018-04-13 10:12,-0.0875,-0.1218,-0.0343
2018-04-13 10:13,-0.0947,-0.1238,-0.029
2018-04-13 10:14,-0.099,-0.116,-0.017
2018-04-13 10:15,-0.1012,-0.1101,-0.0089
2018-04-13 10:16,-0.1002,-0.0961,0.0041
2018-04-13 10:17,-0.0975,-0.0866,0.0109
2018-04-13 10:18,-0.0936,-0.0781,0.0155
2018-04-13 10:19,-0.0863,-0.0571,0.0292
2018-04-13 10:20,-0.0796,-0.0526,0.0269
2018-04-13 10:21,-0.0758,-0.0606,0.0152
2018-04-13 10:22,-0.0697,-0.0453,0.0243
2018-04-13 10:23,-0.066,-0.0512,0.0148
2018-04-13 10:24,-0.0654,-0.0633,0.0022
2018-04-13 10:25,-0.0679,-0.0775,-0.0097
2018-04-13 10:26,-0.0721,-0.089,-0.0169
2018-04-13 10:27,-0.0789,-0.1062,-0.0273
2018-04-13 10:28,-0.0908,-0.1384,-0.0476
2018-04-13 10:29,-0.1078,-0.1756,-0.0678
2018-04-13 10:30,-0.1255,-0.1963,-0.0709
2018-04-13 10:31,-0.1409,-0.2024,-0.0615
2018-04-13 10:32,-0.1556,-0.2144,-0.0588
2018-04-13 10:33,-0.1655,-0.2054,-0.0399
2018-04-13 10:34,-0.1665,-0.1705,-0.004
2018-04-13 10:35,-0.1615,-0.1412,0.0203
2018-04-13 10:36,-0.1533,-0.1206,0.0327
2018-04-13 10:37,-0.1423,-0.0984,0.044
2018-04-13 10:38,-0.1314,-0.0878,0.0436
2018-04-13 10:39,-0.1199,-0.0737,0.0462
2018-04-13 10:40,-0.1086,-0.0634,0.0452
2018-04-13 10:41,-0.0935,-0.0331,0.0604
2018-04-13 10:42,-0.078,-0.0161,0.0619
2018-04-13 10:43,-0.0627,-0.0015,0.0612
2018-04-13 10:44,-0.0476,0.0128,0.0604
2018-04-13 10:45,-0.0356,0.0125,0.0481
2018-04-13 10:46,-0.0262,0.0115,0.0377
2018-04-13 10:47,-0.0158,0.0258,0.0416
2018-04-13 10:48,-0.0061,0.0327,0.0388
2018-04-13 10:49,0.004,0.0441,0.0401
2018-04-13 10:50,0.0141,0.0549,0.0408
2018-04-13 10:51,0.0202,0.0444,0.0242
2018-04-13 10:52,0.0265,0.0516,0.0252
2018-04-13 10:53,0.0312,0.0501,0.0189
2018-04-13 10:54,0.0318,0.0339,0.0022
2018-04-13 10:55,0.0319,0.0323,0.0005
2018-04-13 10:56,0.0299,0.0219,-0.008
2018-04-13 10:57,0.0293,0.027,-0.0023
2018-04-13 10:58,0.028,0.0228,-0.0052
2018-04-13 10:59,0.0272,0.024,-0.0032
2018-04-13 11:00,0.0248,0.0151,-0.0097
2018-04-13 11:01,0.0193,-0.0024,-0.0218
2018-04-13 11:02,0.0116,-0.0193,-0.0309
2018-04-13 11:03,0.0052,-0.0204,-0.0256
2018-04-13 11:04,0.0005,-0.0186,-0.019
2018-04-13 11:05,-0.0026,-0.0149,-0.0123
2018-04-13 11:06,-0.0045,-0.0122,-0.0077
2018-04-13 11:07,-0.0053,-0.0084,-0.0031
2018-04-13 11:08,-0.0049,-0.003,0.0019
2018-04-13 11:09,-0.0029,0.0047,0.0077
2018-04-13 11:10,-0.0003,0.0105,0.0107
2018-04-13 11:11,0.0027,0.0145,0.0118
2018-04-13 11:12,0.003,0.0043,0.0013
2018-04-13 11:13,0.0023,-0.0006,-0.0029
2018-04-13 11:14,-0.001,-0.014,-0.013
2018-04-13 11:15,-0.0072,-0.0323,-0.025
2018-04-13 11:16,-0.0123,-0.0326,-0.0203
2018-04-13 11:17,-0.0156,-0.0287,-0.0131
2018-04-13 11:18,-0.018,-0.0276,-0.0096
2018-04-13 11:19,-0.0207,-0.0314,-0.0107
2018-04-13 11:20,-0.023,-0.0322,-0.0092
2018-04-13 11:21,-0.0246,-0.0309,-0.0063
2018-04-13 11:22,-0.0269,-0.0364,-0.0095
2018-04-13 11:23,-0.0276,-0.0302,-0.0026
2018-04-13 11:24,-0.0258,-0.0185,0.0072
2018-04-13 11:25,-0.0204,0.0011,0.0215
2018-04-13 11:26,-0.0132,0.0157,0.0288
2018-04-13 11:27,-0.0072,0.0165,0.0238
2018-04-13 11:28,-0.0035,0.0114,0.0149
2018-04-13 11:29,-0.0009,0.0097,0.0106
2018-04-13 11:30,0.0014,0.0106,0.0092
2018-04-13 11:31,0.0039,0.0137,0.0098
2018-04-13 11:32,0.0068,0.0183,0.0115
2018-04-13 11:33,0.0098,0.0217,0.0119
2018-04-13 11:34,0.012,0.0209,0.0089
2018-04-13 11:35,0.0142,0.0232,0.009
2018-04-13 11:36,0.018,0.0332,0.0152
2018-04-13 11:37,0.0237,0.0466,0.0229
