date,MACD,MACD_Hist,MACD_Signal
2018-04-13 10:03,-0.3397,0.1283,-0.4681
2018-04-13 10:04,-0.2942,0.1391,-0.4333
2018-04-13 10:05,-0.2591,0.1393,-0.3985
2018-04-13 10:06,-0.2048,0.155,-0.3597
2018-04-13 10:07,-0.1694,0.1522,-0.3217
2018-04-13 10:08,-0.1458,0.1407,-0.2865
2018-04-13 10:09,-0.1972,0.0714,-0.2686
2018-04-13 10:10,-0.247,0.0173,-0.2643
2018-04-13 10:11,-0.298,-0.0269,-0.2711
2018-04-13 10:12,-0.3573,-0.069,-0.2883
2018-04-13 10:13,-0.3621,-0.0591,-0.3031
2018-04-13 10:14,-0.3474,-0.0355,-0.3119
2018-04-13 10:15,-0.3235,-0.0093,-0.3143
2018-04-13 10:16,-0.2876,0.0213,-0.3089
2018-04-13 10:17,-0.2391,0.0559,-0.295
2018-04-13 10:18,-0.1648,0.1041,-0.2689
2018-04-13 10:19,-0.0736,0.1563,-0.2299
2018-04-13 10:20,-0.0428,0.1496,-0.1925
2018-04-13 10:21,-0.0421,0.1203,-0.1624
2018-04-13 10:22,-0.0068,0.1245,-0.1313
2018-04-13 10:23,-0.0002,0.1049,-0.1051
2018-04-13 10:24,0.052,0.1256,-0.0737
2018-04-13 10:25,0.0512,0.0999,-0.0487
2018-04-13 10:26,0.0086,0.0458,-0.0372
2018-04-13 10:27,-0.0831,-0.0367,-0.0464
2018-04-13 10:28,-0.1923,-0.1167,-0.0756
2018-04-13 10:29,-0.2677,-0.1537,-0.114
2018-04-13 10:30,-0.3293,-0.1723,-0.1571
2018-04-13 10:31,-0.3699,-0.1702,-0.1996
2018-04-13 10:32,-0.4161,-0.1732,-0.2429
2018-04-13 10:33,-0.4424,-0.1596,-0.2828
2018-04-13 10:34,-0.4014,-0.0949,-0.3065
2018-04-13 10:35,-0.3639,-0.0459,-0.318
2018-04-13 10:36,-0.3543,-0.029,-0.3253
2018-04-13 10:37,-0.3387,-0.0108,-0.328
2018-04-13 10:38,-0.3625,-0.0277,-0.3349
2018-04-13 10:39,-0.3859,-0.0408,-0.3451
2018-04-13 10:40,-0.3942,-0.0393,-0.3549
2018-04-13 10:41,-0.3587,-0.0031,-0.3557
2018-04-13 10:42,-0.3324,0.0186,-0.351
2018-04-13 10:43,-0.2841,0.0536,-0.3376
2018-04-13 10:44,-0.2246,0.0904,-0.315
2018-04-13 10:45,-0.197,0.0944,-0.2914
2018-04-13 10:46,-0.1763,0.0921,-0.2684
2018-04-13 10:47,-0.1399,0.1028,-0.2427
