date,OBV
2018-04-13 09:30,175332.0
2018-04-13 09:31,309930.0
2018-04-13 09:32,173551.0
2018-04-13 09:33,69702.0
2018-04-13 09:34,11337.0
2018-04-13 09:35,81459.0
2018-04-13 09:36,-45420.0
2018-04-13 09:37,-127462.0
2018-04-13 09:38,-52591.0
2018-04-13 09:39,24072.0
2018-04-13 09:40,89819.0
2018-04-13 09:41,143087.0
2018-04-13 09:42,65098.0
2018-04-13 09:43,105740.0
2018-04-13 09:44,56650.0
2018-04-13 09:45,14135.0
2018-04-13 09:46,47408.0
2018-04-13 09:47,47408.0
2018-04-13 09:48,-12787.0
2018-04-13 09:49,46467.0
2018-04-13 09:50,91872.0
2018-04-13 09:51,50456.0
2018-04-13 09:52,-5373.0
2018-04-13 09:53,-100238.0
2018-04-13 09:54,-203175.0
2018-04-13 09:55,-127581.0
2018-04-13 09:56,-81910.0
2018-04-13 09:57,-113413.0
2018-04-13 09:58,-160329.0
2018-04-13 09:59,-117247.0
2018-04-13 10:00,-161214.0
2018-04-13 10:01,-111725.0
2018-04-13 10:02,-168952.0
2018-04-13 10:03,-198874.0
2018-04-13 10:04,-164022.0
2018-04-13 10:05,-192706.0
2018-04-13 10:06,-170902.0
2018-04-13 10:07,-199325.0
2018-04-13 10:08,-226462.0
2018-04-13 10:09,-278339.0
2018-04-13 10:10,-320395.0
2018-04-13 10:11,-377680.0
2018-04-13 10:12,-417341.0
2018-04-13 10:13,-350560.0
2018-04-13 10:14,-315349.0
2018-04-13 10:15,-287368.0
2018-04-13 10:16,-263480.0
2018-04-13 10:17,-233042.0
2018-04-13 10:18,-195260.0
2018-04-13 10:19,-150234.0
2018-04-13 10:20,-183837.0
2018-04-13 10:21,-208240.0
2018-04-13 10:22,-191951.0
2018-04-13 10:23,-207952.0
2018-04-13 10:24,-179906.0
2018-04-13 10:25,-196111.0
2018-04-13 10:26,-217573.0
2018-04-13 10:27,-262303.0
2018-04-13 10:28,-303309.0
2018-04-13 10:29,-272837.0
2018-04-13 10:30,-315370.0
2018-04-13 10:31,-294699.0
2018-04-13 10:32,-358970.0
2018-04-13 10:33,-332501.0
2018-04-13 10:34,-285358.0
2018-04-13 10:35,-257388.0
2018-04-13 10:36,-302243.0
2018-04-13 10:37,-290028.0
2018-04-13 10:38,-335190.0
2018-04-13 10:39,-361385.0
2018-04-13 10:40,-329522.0
2018-04-13 10:41,-303860.0
2018-04-13 10:42,-329592.0
2018-04-13 10:43,-290179.0
2018-04-13 10:44,-272661.0
2018-04-13 10:45,-297022.0
2018-04-13 10:46,-316821.0
2018-04-13 10:47,-293820.0
2018-04-13 10:48,-281213.0
2018-04-13 10:49,-225654.0
2018-04-13 10:50,-194447.0
2018-04-13 10:51,-165492.0
2018-04-13 10:52,-124422.0
2018-04-13 10:53,-144922.0
2018-04-13 10:54,-164786.0
2018-04-13 10:55,-151668.0
2018-04-13 10:56,-174594.0
2018-04-13 10:57,-163296.0
2018-04-13 10:58,-174462.0
2018-04-13 10:59,-184648.0
2018-04-13 11:00,-200684.0
2018-04-13 11:01,-233226.0
2018-04-13 11:02,-291620.0
2018-04-13 11:03,-268449.0
2018-04-13 11:04,-255796.0
2018-04-13 11:05,-268063.0
2018-04-13 11:06,-254115.0
2018-04-13 11:07,-239566.0
2018-04-13 11:08,-259370.0
2018-04-13 11:09,-244149.0
2018-04-13 11:10,-252966.0
2018-04-13 11:11,-240734.0
2018-04-13 11:12,-252618.0
2018-04-13 11:13,-246658.0
2018-04-13 11:14,-253699.0
2018-04-13 11:15,-246574.0
2018-04-13 11:16,-232233.0
2018-04-13 11:17,-242340.0
2018-04-13 11:18,-256926.0
2018-04-13 11:19,-287845.0
2018-04-13 11:20,-272313.0
2018-04-13 11:21,-262661.0
2018-04-13 11:22,-279100.0
2018-04-13 11:23,-262626.0
2018-04-13 11:24,-245645.0
2018-04-13 11:25,-263595.0
2018-04-13 11:26,-248464.0
2018-04-13 11:27,-264309.0
2018-04-13 11:28,-282568.0
2018-04-13 11:29,-262773.0
2018-04-13 11:30,-255684.0
2018-04-13 11:31,-240983.0
2018-04-13 11:32,-223472.0
2018-04-13 11:33,-212029.0
2018-04-13 11:34,-228427.0
2018-04-13 11:35,-238686.0
2018-04-13 11:36,-228560.0
2018-04-13 11:37,-191162.0
2018-04-13 11:38,-208659.0
2018-04-13 11:39,-226639.0
2018-04-13 11:40,-212701.0
2018-04-13 11:41,-229577.0
2018-04-13 11:42,-223339.0
2018-04-13 11:43,-238532.0
2018-04-13 11:44,-221713.0
2018-04-13 11:45,-208981.0
2018-04-13 11:46,-201566.0
2018-04-13 11:47,-193898.0
2018-04-13 11:48,-179621.0
2018-04-13 11:49,-197348.0
2018-04-13 11:50,-206989.0
2018-04-13 11:51,-218006.0
2018-04-13 11:52,-208510.0
2018-04-13 11:53,-199424.0
2018-04-13 11:54,-206469.0
2018-04-13 11:55,-241314.0
2018-04-13 11:56,-226805.0
2018-04-13 11:57,-209310.0
2018-04-13 11:58,-199652.0
2018-04-13 11:59,-168212.0
2018-04-13 12:00,-178288.0
2018-04-13 12:01,-154304.0
2018-04-13 12:02,-128396.0
2018-04-13 12:03,-107605.0
2018-04-13 12:04,-127851.0
2018-04-13 12:05,-111069.0
2018-04-13 12:06,-84192.0
2018-04-13 12:07,-101304.0
2018-04-13 12:08,-114663.0
2018-04-13 12:09,-129460.0
2018-04-13 12:10,-136815.0
2018-04-13 12:11,-136815.0
2018-04-13 12:12,-156429.0
2018-04-13 12:13,-142959.0
2018-04-13 12:14,-130259.0
2018-04-13 12:15,-140922.0
2018-04-13 12:16,-131298.0
2018-04-13 12:17,-142250.0
2018-04-13 12:18,-151391.0
2018-04-13 12:19,-154252.0
2018-04-13 12:20,-161682.0
2018-04-13 12:21,-173585.0
2018-04-13 12:22,-160481.0
2018-04-13 12:23,-141236.0
2018-04-13 12:24,-151921.0
2018-04-13 12:25,-164706.0
2018-04-13 12:26,-154964.0
2018-04-13 12:27,-168112.0
2018-04-13 12:28,-184169.0
2018-04-13 12:29,-167637.0
2018-04-13 12:30,-150736.0
2018-04-13 12:31,-160061.0
2018-04-13 12:32,-164351.0
2018-04-13 12:33,-167999.0
2018-04-13 12:34,-161091.0
2018-04-13 12:35,-173508.0
2018-04-13 12:36,-164080.0
2018-04-13 12:37,-158163.0
2018-04-13 12:38,-172863.0
2018-04-13 12:39,-188910.0
2018-04-13 12:40,-205235.0
2018-04-13 12:41,-199671.0
2018-04-13 12:42,-208837.0
2018-04-13 12:43,-208837.0
2018-04-13 12:44,-196862.0
2018-04-13 12:45,-206599.0
2018-04-13 12:46,-218014.0
2018-04-13 12:47,-201261.0
2018-04-13 12:48,-213829.0
2018-04-13 12:49,-207195.0
2018-04-13 12:50,-200148.0
2018-04-13 12:51,-184579.0
2018-04-13 12:52,-167494.0
2018-04-13 12:53,-178981.0
2018-04-13 12:54,-187842.0
2018-04-13 12:55,-196200.0
2018-04-13 12:56,-189974.0
2018-04-13 12:57,-181960.0
2018-04-13 12:58,-175948.0
2018-04-13 12:59,-183990.0
2018-04-13 13:00,-190873.0
2018-04-13 13:01,-193784.0
2018-04-13 13:02,-171857.0
2018-04-13 13:03,-208267.0
2018-04-13 13:04,-195975.0
2018-04-13 13:05,-188462.0
2018-04-13 13:06,-178369.0
2018-04-13 13:07,-169635.0
2018-04-13 13:08,-158320.0
2018-04-13 13:09,-141955.0
2018-04-13 13:10,-151586.0
2018-04-13 13:11,-171030.0
2018-04-13 13:12,-152998.0
2018-04-13 13:13,-133831.0
2018-04-13 13:14,-155876.0
2018-04-13 13:15,-182228.0
2018-04-13 13:16,-173228.0
2018-04-13 13:17,-167513.0
2018-04-13 13:18,-157625.0
2018-04-13 13:19,-150359.0
2018-04-13 13:20,-159934.0
2018-04-13 13:21,-152454.0
2018-04-13 13:22,-143163.0
2018-04-13 13:23,-120327.0
2018-04-13 13:24,-134565.0
2018-04-13 13:25,-117684.0
2018-04-13 13:26,-74093.0
2018-04-13 13:27,-64896.0
2018-04-13 13:28,-93007.0
2018-04-13 13:29,-102738.0
2018-04-13 13:30,-108055.0
2018-04-13 13:31,-96986.0
2018-04-13 13:32,-105365.0
