date,MACD_Signal,MACD,MACD_Hist
2018-04-13 10:04,-0.007,-0.0028,0.0042
2018-04-13 10:05,-0.0061,-0.0021,0.004
2018-04-13 10:06,-0.0051,-0.0011,0.0039
2018-04-13 10:07,-0.0041,-0.0004,0.0038
2018-04-13 10:08,-0.0033,0.0002,0.0035
2018-04-13 10:09,-0.0025,0.0004,0.0029
2018-04-13 10:10,-0.0018,0.0012,0.003
2018-04-13 10:11,-0.0012,0.0013,0.0025
2018-04-13 10:12,-0.0005,0.0019,0.0025
2018-04-13 10:13,0.0002,0.0032,0.003
2018-04-13 10:14,0.001,0.0041,0.0031
2018-04-13 10:15,0.0017,0.0048,0.0031
2018-04-13 10:16,0.0025,0.0053,0.0028
2018-04-13 10:17,0.0031,0.0056,0.0025
2018-04-13 10:18,0.0036,0.0058,0.0022
2018-04-13 10:19,0.004,0.0055,0.0015
2018-04-13 10:20,0.0043,0.0056,0.0013
2018-04-13 10:21,0.0046,0.0056,0.001
2018-04-13 10:22,0.0048,0.0055,0.0008
2018-04-13 10:23,0.0047,0.0046,-0.0001
2018-04-13 10:24,0.0046,0.0042,-0.0004
2018-04-13 10:25,0.0046,0.0043,-0.0003
2018-04-13 10:26,0.0045,0.0043,-0.0002
2018-04-13 10:27,0.0045,0.0043,-0.0002
2018-04-13 10:28,0.0043,0.0038,-0.0005
2018-04-13 10:29,0.0041,0.0034,-0.0008
2018-04-13 10:30,0.0039,0.003,-0.0009
2018-04-13 10:31,0.0037,0.0027,-0.001
2018-04-13 10:32,0.0033,0.0017,-0.0016
2018-04-13 10:33,0.003,0.002,-0.001
2018-04-13 10:34,0.0028,0.0022,-0.0006
2018-04-13 10:35,0.0027,0.002,-0.0007
2018-04-13 10:36,0.0026,0.0021,-0.0004
2018-04-13 10:37,0.0025,0.0023,-0.0002
2018-04-13 10:38,0.0024,0.0019,-0.0005
2018-04-13 10:39,0.0023,0.002,-0.0003
2018-04-13 10:40,0.0023,0.0021,-0.0002
2018-04-13 10:41,0.0022,0.0021,-0.0001
2018-04-13 10:42,0.0021,0.0013,-0.0007
2018-04-13 10:43,0.0019,0.0015,-0.0005
2018-04-13 10:44,0.0018,0.0012,-0.0006
2018-04-13 10:45,0.0015,0.0005,-0.001
2018-04-13 10:46,0.0012,-0.0002,-0.0014
2018-04-13 10:47,0.0008,-0.0006,-0.0014
2018-04-13 10:48,0.0005,-0.0008,-0.0013
2018-04-13 10:49,0.0003,-0.0006,-0.0009
2018-04-13 10:50,0.0001,-0.0008,-0.0008
2018-04-13 10:51,-0.0003,-0.0018,-0.0015
2018-04-13 10:52,-0.0006,-0.0018,-0.0012
2018-04-13 10:53,-0.0009,-0.0021,-0.0012
2018-04-13 10:54,-0.0012,-0.0023,-0.0012
2018-04-13 10:55,-0.0014,-0.0021,-0.0007
2018-04-13 10:56,-0.0018,-0.0035,-0.0017
2018-04-13 10:57,-0.0022,-0.0037,-0.0016
2018-04-13 10:58,-0.0026,-0.0043,-0.0017
2018-04-13 10:59,-0.0031,-0.0051,-0.002
2018-04-13 11:00,-0.0038,-0.0064,-0.0027
2018-04-13 11:01,-0.0044,-0.007,-0.0026
2018-04-13 11:02,-0.0054,-0.0094,-0.004
2018-04-13 11:03,-0.0065,-0.0111,-0.0046
2018-04-13 11:04,-0.0074,-0.0108,-0.0034
2018-04-13 11:05,-0.0081,-0.0112,-0.003
