date,MACD_Signal,MACD,MACD_Hist
2018-04-13 10:03,-0.9117,-0.594,0.3177
2018-04-13 10:04,-0.8409,-0.5578,0.2831
2018-04-13 10:05,-0.7967,-0.6196,0.177
2018-04-13 10:06,-0.7577,-0.602,0.1558
2018-04-13 10:07,-0.7295,-0.6167,0.1128
2018-04-13 10:08,-0.7026,-0.5949,0.1077
2018-04-13 10:09,-0.6809,-0.5939,0.087
2018-04-13 10:10,-0.6695,-0.6241,0.0454
2018-04-13 10:11,-0.6697,-0.6707,-0.0009
2018-04-13 10:12,-0.691,-0.776,-0.085
2018-04-13 10:13,-0.7071,-0.7716,-0.0645
2018-04-13 10:14,-0.7219,-0.7808,-0.059
2018-04-13 10:15,-0.7321,-0.7728,-0.0408
2018-04-13 10:16,-0.7228,-0.6859,0.0369
2018-04-13 10:17,-0.7015,-0.6164,0.0851
2018-04-13 10:18,-0.6749,-0.5681,0.1068
2018-04-13 10:19,-0.6414,-0.5078,0.1336
2018-04-13 10:20,-0.6067,-0.4676,0.1391
2018-04-13 10:21,-0.5561,-0.3537,0.2024
2018-04-13 10:22,-0.4993,-0.2724,0.227
2018-04-13 10:23,-0.4318,-0.1617,0.2701
2018-04-13 10:24,-0.353,-0.0378,0.3152
2018-04-13 10:25,-0.2814,0.0052,0.2866
2018-04-13 10:26,-0.2285,-0.017,0.2115
2018-04-13 10:27,-0.1933,-0.0523,0.1409
2018-04-13 10:28,-0.1765,-0.1092,0.0673
2018-04-13 10:29,-0.1688,-0.1381,0.0307
2018-04-13 10:30,-0.1629,-0.1393,0.0236
2018-04-13 10:31,-0.1622,-0.1593,0.0028
2018-04-13 10:32,-0.1635,-0.1689,-0.0053
2018-04-13 10:33,-0.1578,-0.1348,0.023
2018-04-13 10:34,-0.1303,-0.0205,0.1098
2018-04-13 10:35,-0.0878,0.082,0.1699
2018-04-13 10:36,-0.0383,0.1596,0.198
2018-04-13 10:37,0.0141,0.2239,0.2098
2018-04-13 10:38,0.0632,0.2596,0.1964
2018-04-13 10:39,0.109,0.2922,0.1832
2018-04-13 10:40,0.1476,0.3019,0.1544
2018-04-13 10:41,0.194,0.3798,0.1858
2018-04-13 10:42,0.2425,0.4361,0.1937
2018-04-13 10:43,0.2926,0.4934,0.2007
2018-04-13 10:44,0.3472,0.5656,0.2183
2018-04-13 10:45,0.3862,0.5423,0.156
2018-04-13 10:46,0.417,0.5402,0.1232
2018-04-13 10:47,0.4425,0.5444,0.1019
2018-04-13 10:48,0.4644,0.5518,0.0874
2018-04-13 10:49,0.4909,0.5968,0.106
2018-04-13 10:50,0.5203,0.638,0.1177
2018-04-13 10:51,0.5464,0.6509,0.1045
2018-04-13 10:52,0.5717,0.6729,0.1012
2018-04-13 10:53,0.5892,0.6594,0.0701
2018-04-13 10:54,0.5853,0.5696,-0.0157
2018-04-13 10:55,0.5687,0.5022,-0.0665
2018-04-13 10:56,0.5347,0.3986,-0.1361
2018-04-13 10:57,0.4904,0.3133,-0.1771
2018-04-13 10:58,0.449,0.2836,-0.1654
2018-04-13 10:59,0.4111,0.2593,-0.1518
2018-04-13 11:00,0.3762,0.2367,-0.1395
2018-04-13 11:01,0.3412,0.2011,-0.1401
2018-04-13 11:02,0.299,0.1302,-0.1688
2018-04-13 11:03,0.2545,0.0766,-0.1779
2018-04-13 11:04,0.191,-0.063,-0.254
2018-04-13 11:05,0.1201,-0.1637,-0.2838
2018-04-13 11:06,0.0404,-0.2782,-0.3186
2018-04-13 11:07,-0.0258,-0.2906,-0.2648
2018-04-13 11:08,-0.0872,-0.3328,-0.2456
2018-04-13 11:09,-0.1457,-0.3797,-0.234
2018-04-13 11:10,-0.197,-0.4024,-0.2054
2018-04-13 11:11,-0.238,-0.4022,-0.1641
2018-04-13 11:12,-0.2654,-0.3751,-0.1096
2018-04-13 11:13,-0.284,-0.3583,-0.0743
2018-04-13 11:14,-0.2974,-0.3511,-0.0537
2018-04-13 11:15,-0.3114,-0.3671,-0.0557
2018-04-13 11:16,-0.3094,-0.3014,0.008
2018-04-13 11:17,-0.2959,-0.2419,0.054
2018-04-13 11:18,-0.2706,-0.1693,0.1012
2018-04-13 11:19,-0.2358,-0.0966,0.1392
2018-04-13 11:20,-0.2113,-0.1135,0.0978
2018-04-13 11:21,-0.1856,-0.0827,0.1029
2018-04-13 11:22,-0.16,-0.0578,0.1023
2018-04-13 11:23,-0.1379,-0.0495,0.0885
2018-04-13 11:24,-0.1026,0.0386,0.1412
2018-04-13 11:25,-0.0618,0.1015,0.1633
2018-04-13 11:26,-0.0184,0.1552,0.1736
2018-04-13 11:27,0.0175,0.161,0.1435
2018-04-13 11:28,0.0445,0.1524,0.1079
2018-04-13 11:29,0.0634,0.1391,0.0757
2018-04-13 11:30,0.0733,0.1128,0.0395
2018-04-13 11:31,0.0821,0.1176,0.0355
2018-04-13 11:32,0.1018,0.1803,0.0785
2018-04-13 11:33,0.1282,0.2337,0.1055
2018-04-13 11:34,0.1577,0.2757,0.118
2018-04-13 11:35,0.1833,0.2859,0.1026
2018-04-13 11:36,0.208,0.3067,0.0987
2018-04-13 11:37,0.2357,0.3465,0.1108
2018-04-13 11:38,0.2597,0.3558,0.0961
2018-04-13 11:39,0.2761,0.3417,0.0656
2018-04-13 11:40,0.2904,0.3477,0.0573
2018-04-13 11:41,0.2933,0.3045,0.0113
2018-04-13 11:42,0.2931,0.2927,-0.0004
2018-04-13 11:43,0.2901,0.2778,-0.0123
2018-04-13 11:44,0.2865,0.272,-0.0144
2018-04-13 11:45,0.29,0.304,0.014
2018-04-13 11:46,0.2948,0.314,0.0192
2018-04-13 11:47,0.2985,0.3133,0.0148
2018-04-13 11:48,0.303,0.3209,0.018
2018-04-13 11:49,0.3046,0.3113,0.0066
2018-04-13 11:50,0.2986,0.2746,-0.024
2018-04-13 11:51,0.2816,0.2133,-0.0683
2018-04-13 11:52,0.2647,0.1975,-0.0673
2018-04-13 11:53,0.2487,0.1847,-0.064
2018-04-13 11:54,0.2192,0.101,-0.1182
2018-04-13 11:55,0.1811,0.0287,-0.1524
2018-04-13 11:56,0.1335,-0.057,-0.1905
2018-04-13 11:57,0.0927,-0.0706,-0.1632
2018-04-13 11:58,0.0664,-0.0385,-0.1049
2018-04-13 11:59,0.0477,-0.027,-0.0748
