date,1. open,2. high,3. low,4. close,5. volume
4/26/18 11:43,69.24,69.24,69.2,69.2,2300
4/26/18 11:44,69.24,69.29,69.23,69.26,4250
4/26/18 11:45,69.24,69.24,69.21,69.23,2150
4/26/18 11:46,69.24,69.29,69.23,69.29,2400
4/26/18 11:47,69.29,69.29,69.24,69.26,7432
4/26/18 11:48,69.26,69.26,69.17,69.17,1509
4/26/18 11:49,69.2,69.24,69.2,69.2,2977
4/26/18 11:50,69.21,69.22,69.19,69.22,1523
4/26/18 11:51,69.22,69.24,69.19,69.22,2416
4/26/18 11:52,69.22,69.25,69.22,69.22,2380
4/26/18 11:53,69.21,69.21,69.11,69.11,1700
4/26/18 11:54,69.14,69.2,69.14,69.16,4200
4/26/18 11:55,69.16,69.1602,69.12,69.12,3086
4/26/18 11:56,69.13,69.18,69.13,69.14,3104
4/26/18 11:57,69.14,69.15,69.12,69.13,3700
4/26/18 11:58,69.17,69.19,69.17,69.19,3055
4/26/18 11:59,69.19,69.19,69.16,69.16,2478
4/26/18 12:00,69.15,69.2,69.15,69.2,1200
4/26/18 12:01,69.25,69.25,69.24,69.24,3904
4/26/18 12:02,69.24,69.24,69.21,69.21,3157
4/26/18 12:03,69.24,69.2702,69.24,69.25,1976
4/26/18 12:04,69.25,69.26,69.24,69.26,1400
4/26/18 12:05,69.26,69.26,69.19,69.21,1177
4/26/18 12:06,69.22,69.22,69.19,69.21,1477
4/26/18 12:07,69.21,69.29,69.21,69.29,4519
4/26/18 12:08,69.28,69.28,69.24,69.26,1227
4/26/18 12:09,69.26,69.27,69.25,69.27,822
4/26/18 12:10,69.29,69.3,69.29,69.29,2128
4/26/18 12:11,69.29,69.29,69.26,69.26,1257
4/26/18 12:12,69.26,69.26,69.19,69.19,1100
4/26/18 12:13,69.21,69.27,69.21,69.26,1800
4/26/18 12:14,69.26,69.3,69.26,69.28,1249
4/26/18 12:15,69.28,69.28,69.26,69.26,1600
4/26/18 12:16,69.26,69.31,69.26,69.3,1600
4/26/18 12:17,69.2984,69.2984,69.25,69.25,2300
4/26/18 12:18,69.26,69.3,69.26,69.3,1831
4/26/18 12:19,69.29,69.32,69.28,69.32,1752
4/26/18 12:20,69.32,69.32,69.29,69.29,3100
4/26/18 12:21,69.29,69.3,69.29,69.3,1000
4/26/18 12:22,69.3,69.31,69.3,69.31,500
4/26/18 12:23,69.33,69.35,69.33,69.35,2125
4/26/18 12:24,69.35,69.35,69.32,69.32,885
4/26/18 12:25,69.32,69.36,69.32,69.36,3324
4/26/18 12:26,69.34,69.34,69.34,69.34,400
4/26/18 12:27,69.36,69.4,69.36,69.38,2100
4/26/18 12:28,69.3948,69.4,69.37,69.37,1611
4/26/18 12:29,69.36,69.36,69.34,69.34,1300
4/26/18 12:30,69.34,69.39,69.34,69.37,3000
4/26/18 12:31,69.381,69.381,69.38,69.38,300
4/26/18 12:32,69.38,69.38,69.36,69.38,6463
4/26/18 12:33,69.37,69.37,69.37,69.37,300
4/26/18 12:34,69.38,69.39,69.38,69.39,2100
4/26/18 12:35,69.41,69.41,69.39,69.39,748
4/26/18 12:36,69.39,69.4,69.38,69.4,1400
4/26/18 12:37,69.4,69.4,69.36,69.36,1900
4/26/18 12:38,69.38,69.39,69.38,69.39,400
4/26/18 12:39,69.39,69.41,69.38,69.41,2400
4/26/18 12:40,69.4,69.4,69.38,69.38,1134
4/26/18 12:41,69.39,69.45,69.38,69.45,10633
4/26/18 12:42,69.4541,69.4541,69.44,69.44,1938
4/26/18 12:43,69.43,69.4337,69.42,69.42,1348
4/26/18 12:44,69.42,69.42,69.38,69.38,7163
4/26/18 12:45,69.37,69.42,69.37,69.42,2933
4/26/18 12:46,69.42,69.42,69.4,69.41,1150
4/26/18 12:47,69.41,69.41,69.41,69.41,1470
4/26/18 12:48,69.37,69.37,69.32,69.32,1100
4/26/18 12:49,69.3,69.32,69.3,69.32,900
4/26/18 12:50,69.34,69.34,69.32,69.32,1963
4/26/18 12:51,69.31,69.325,69.31,69.32,6823
4/26/18 12:52,69.31,69.35,69.31,69.35,6244
4/26/18 12:53,69.35,69.35,69.33,69.34,3577
4/26/18 12:54,69.34,69.36,69.32,69.35,1200
4/26/18 12:55,69.36,69.37,69.36,69.37,600
4/26/18 12:56,69.39,69.43,69.39,69.4,3308
4/26/18 12:57,69.39,69.39,69.37,69.39,1300
4/26/18 12:58,69.39,69.4,69.38,69.38,3033
4/26/18 12:59,69.39,69.4,69.38,69.39,2682
4/26/18 13:00,69.4,69.4,69.35,69.3797,7881
4/26/18 13:01,69.36,69.36,69.36,69.36,200
4/26/18 13:02,69.38,69.43,69.38,69.39,4056
4/26/18 13:03,69.41,69.41,69.4,69.4,2000
4/26/18 13:04,69.41,69.43,69.38,69.4,14723
4/26/18 13:05,69.4,69.4,69.36,69.36,1600
4/26/18 13:06,69.38,69.4025,69.37,69.37,2077
4/26/18 13:07,69.37,69.41,69.37,69.41,5933
4/26/18 13:08,69.42,69.42,69.4,69.4,1000
4/26/18 13:09,69.43,69.45,69.395,69.395,4214
4/26/18 13:10,69.39,69.42,69.38,69.41,6685
4/26/18 13:11,69.41,69.41,69.4,69.4,400
4/26/18 13:12,69.4,69.4,69.38,69.38,1800
4/26/18 13:13,69.39,69.44,69.38,69.43,2870
4/26/18 13:14,69.43,69.43,69.39,69.39,2834
4/26/18 13:15,69.39,69.39,69.36,69.36,900
4/26/18 13:16,69.37,69.38,69.32,69.32,1200
4/26/18 13:17,69.31,69.32,69.31,69.32,300
4/26/18 13:18,69.33,69.35,69.31,69.32,3201
4/26/18 13:19,69.32,69.33,69.32,69.32,800
4/26/18 13:20,69.32,69.37,69.32,69.37,1575
4/26/18 13:21,69.3799,69.38,69.35,69.37,2250
4/26/18 13:22,69.38,69.4,69.38,69.38,2400
